X	Graphic Profile 1
654.56351182	277.2973
655.562845426	277.3231
656.562179032	277.3636
657.561512638	277.4195
658.560846244	277.4388
659.56017985	277.4052
660.559513456	277.3678
661.55884706	277.33
662.558180664	277.3219
663.557514274	277.3452
664.556847881	277.3225
665.556181482	277.2995
666.555515089	277.308

