"Points:0","Points:1","Points:2"
8.75,0.5,258.93583
8.75,0.5,258.88583
8.75,0.5,258.83583
8.75,0.5,258.78584
8.75,0.5,258.73583
8.75,0.5,258.68583
8.75,0.5,258.63583
8.75,0.5,258.58583
8.75,0.5,258.53584
8.75,0.5,258.48583
8.75,0.5,258.31083
8.75,0.5,257.76083
8.75,0.5,256.71083
6.75,0.5,254.95835
6.75,0.5,252.90835
6.75,0.5,250.35836
6.75,0.5,247.30836
6.75,0.5,243.75835
7.25,0.5,255.01752
7.25,0.5,252.96753
7.25,0.5,250.41753
7.25,0.5,247.36753
7.25,0.5,243.81753
7.75,0.5,255.06704
7.75,0.5,253.01704
7.75,0.5,250.46704
7.75,0.5,247.41705
7.75,0.5,243.86704
8.25,0.5,255.11483
8.25,0.5,253.06483
8.25,0.5,250.51483
8.25,0.5,247.46484
8.25,0.5,243.91483
8.75,0.5,255.16083
8.75,0.5,253.11083
8.75,0.5,250.56083
8.75,0.5,247.51083
8.75,0.5,243.96083
9.25,0.5,260.97495
9.25,0.5,260.92494
9.25,0.5,260.87495
9.25,0.5,260.82495
9.25,0.5,260.77495
9.25,0.5,260.72495
9.25,0.5,260.67494
9.25,0.5,260.62495
9.25,0.5,260.57495
9.25,0.5,260.52495
9.25,0.5,260.47495
9.25,0.5,260.42494
9.25,0.5,260.37495
9.25,0.5,260.32495
9.25,0.5,260.27495
9.25,0.5,260.22495
9.25,0.5,260.17494
9.25,0.5,260.12495
9.25,0.5,260.07495
9.25,0.5,260.02495
9.25,0.5,259.97495
9.25,0.5,259.92494
9.25,0.5,259.87495
9.25,0.5,259.82495
9.25,0.5,259.77495
9.25,0.5,259.72495
9.25,0.5,259.67494
9.25,0.5,259.62495
9.25,0.5,259.57495
9.25,0.5,259.52495
9.25,0.5,259.47495
