CellCenters:0,CellCenters:1,CellCenters:2
1.05,0.5,257.14
1.05,0.5,257.09
1.05,0.5,257.04
1.05,0.5,256.99
1.05,0.5,256.94
1.05,0.5,256.89
1.05,0.5,256.84
1.05,0.5,256.79
1.05,0.5,256.74
1.05,0.5,256.69
1.05,0.5,256.64
1.05,0.5,256.59
1.05,0.5,256.54
1.05,0.5,256.49
1.05,0.5,256.44
1.05,0.5,256.39
1.05,0.5,256.34
1.05,0.5,256.29
1.05,0.5,256.24
1.05,0.5,256.19
1.05,0.5,256.14
1.05,0.5,256.09
1.05,0.5,255.92
1.05,0.5,255.37
1.05,0.5,254.32
1.05,0.5,252.77
1.05,0.5,250.72
1.05,0.5,248.17
1.05,0.5,245.12
1.05,0.5,241.57
1.15,0.5,258.64
1.15,0.5,258.59
1.15,0.5,258.54
1.15,0.5,258.49
1.15,0.5,258.44
1.15,0.5,258.39
1.15,0.5,258.34
1.15,0.5,258.29
1.15,0.5,258.24
1.15,0.5,258.19
1.15,0.5,258.14
1.15,0.5,258.09
1.25,0.5,258.73
1.25,0.5,258.68
1.25,0.5,258.63
1.25,0.5,258.58
1.25,0.5,258.53
1.25,0.5,258.48
1.25,0.5,258.43
1.25,0.5,258.38
1.25,0.5,258.33
1.25,0.5,258.28
1.25,0.5,258.23
1.25,0.5,258.18
1.25,0.5,258.13
1.25,0.5,258.08
1.15,0.5,258.04
1.15,0.5,257.99
1.15,0.5,257.94
1.15,0.5,257.89
1.15,0.5,257.84
1.15,0.5,257.79
1.15,0.5,257.74
1.15,0.5,257.69
1.15,0.5,257.64
1.15,0.5,257.59
1.15,0.5,257.54
1.15,0.5,257.49
1.15,0.5,257.44
1.15,0.5,257.39
1.15,0.5,257.34
1.15,0.5,257.29
1.15,0.5,257.24
1.15,0.5,257.19
1.15,0.5,257.14
1.15,0.5,257.09
1.15,0.5,257.04
1.15,0.5,256.99
1.15,0.5,256.94
1.15,0.5,256.89
1.15,0.5,256.84
1.15,0.5,256.79
1.15,0.5,256.74
1.15,0.5,256.69
1.15,0.5,256.64
1.15,0.5,256.59
1.15,0.5,256.54
1.15,0.5,256.49
1.15,0.5,256.44
1.15,0.5,256.39
1.15,0.5,256.34
1.15,0.5,256.29
1.15,0.5,256.24
1.15,0.5,256.19
1.15,0.5,256.01
1.15,0.5,255.46
1.15,0.5,254.41
1.15,0.5,252.86
1.15,0.5,250.81
1.15,0.5,248.26
1.15,0.5,245.21
1.15,0.5,241.66
1.25,0.5,258.03
1.25,0.5,257.98
1.25,0.5,257.93
1.25,0.5,257.88
1.25,0.5,257.83
1.25,0.5,257.78
1.25,0.5,257.73
1.25,0.5,257.68
1.25,0.5,257.63
1.25,0.5,257.58
1.25,0.5,257.53
1.25,0.5,257.48
1.25,0.5,257.43
1.25,0.5,257.38
1.25,0.5,257.33
1.25,0.5,257.28
1.25,0.5,257.23
1.25,0.5,257.18
1.25,0.5,257.13
1.25,0.5,257.08
1.25,0.5,257.03
1.25,0.5,256.98
1.25,0.5,256.93
1.25,0.5,256.88
1.25,0.5,256.83
1.25,0.5,256.78
1.25,0.5,256.73
1.25,0.5,256.68
1.25,0.5,256.63
1.25,0.5,256.58
1.25,0.5,256.53
1.25,0.5,256.48
1.25,0.5,256.43
1.25,0.5,256.38
1.25,0.5,256.33
1.25,0.5,256.28
1.25,0.5,256.11
1.25,0.5,255.56
1.25,0.5,254.51
1.25,0.5,252.96
1.25,0.5,250.91
1.25,0.5,248.36
1.25,0.5,245.31
1.25,0.5,241.76
1.35,0.5,258.83
1.35,0.5,258.78
1.35,0.5,258.73
1.35,0.5,258.68
1.35,0.5,258.63
1.35,0.5,258.58
1.35,0.5,258.53
1.35,0.5,258.48
1.35,0.5,258.43
1.35,0.5,258.38
1.35,0.5,258.33
1.35,0.5,258.28
1.35,0.5,258.23
1.35,0.5,258.18
1.35,0.5,258.13
1.35,0.5,258.08
1.45,0.5,258.92
1.45,0.5,258.87
1.45,0.5,258.82
1.45,0.5,258.77
1.45,0.5,258.72
1.45,0.5,258.67
1.45,0.5,258.62
1.45,0.5,258.57
1.45,0.5,258.52
1.45,0.5,258.47
1.45,0.5,258.42
1.45,0.5,258.37
1.45,0.5,258.32
1.45,0.5,258.27
1.45,0.5,258.22
1.45,0.5,258.17
1.45,0.5,258.12
1.45,0.5,258.07
1.35,0.5,258.03
1.35,0.5,257.98
1.35,0.5,257.93
1.35,0.5,257.88
1.35,0.5,257.83
1.35,0.5,257.78
1.35,0.5,257.73
1.35,0.5,257.68
1.35,0.5,257.63
1.35,0.5,257.58
1.35,0.5,257.53
1.35,0.5,257.48
1.35,0.5,257.43
1.35,0.5,257.38
1.35,0.5,257.33
1.35,0.5,257.28
1.35,0.5,257.23
1.35,0.5,257.18
1.35,0.5,257.13
1.35,0.5,257.08
1.35,0.5,257.03
1.35,0.5,256.98
1.35,0.5,256.93
1.35,0.5,256.88
1.35,0.5,256.83
1.35,0.5,256.78
1.35,0.5,256.73
1.35,0.5,256.68
1.35,0.5,256.63
1.35,0.5,256.58
1.35,0.5,256.53
1.35,0.5,256.48
1.35,0.5,256.43
1.35,0.5,256.38
1.35,0.5,256.2
1.35,0.5,255.65
1.35,0.5,254.6
1.35,0.5,253.05
1.35,0.5,251
1.35,0.5,248.45
1.35,0.5,245.4
1.35,0.5,241.85
1.45,0.5,258.02
1.45,0.5,257.97
1.45,0.5,257.92
1.45,0.5,257.87
1.45,0.5,257.82
1.45,0.5,257.77
1.45,0.5,257.72
1.45,0.5,257.67
1.45,0.5,257.62
1.45,0.5,257.57
1.45,0.5,257.52
1.45,0.5,257.47
1.45,0.5,257.42
1.45,0.5,257.37
1.45,0.5,257.32
1.45,0.5,257.27
1.45,0.5,257.22
1.45,0.5,257.17
1.45,0.5,257.12
1.45,0.5,257.07
1.45,0.5,257.02
1.45,0.5,256.97
1.45,0.5,256.92
1.45,0.5,256.87
1.45,0.5,256.82
1.45,0.5,256.77
1.45,0.5,256.72
1.45,0.5,256.67
1.45,0.5,256.62
1.45,0.5,256.57
1.45,0.5,256.52
1.45,0.5,256.47
1.45,0.5,256.3
1.45,0.5,255.75
1.45,0.5,254.7
1.45,0.5,253.15
1.45,0.5,251.1
1.45,0.5,248.55
1.45,0.5,245.5
1.45,0.5,241.95
1.55,0.5,259.02
1.55,0.5,258.97
1.55,0.5,258.92
1.55,0.5,258.87
1.55,0.5,258.82
1.55,0.5,258.77
1.55,0.5,258.72
1.55,0.5,258.67
1.55,0.5,258.62
1.55,0.5,258.57
1.55,0.5,258.52
1.55,0.5,258.47
1.55,0.5,258.42
1.55,0.5,258.37
1.55,0.5,258.32
1.55,0.5,258.27
1.55,0.5,258.22
1.55,0.5,258.17
1.55,0.5,258.12
1.55,0.5,258.07
1.65,0.5,259.11
1.65,0.5,259.06
1.65,0.5,259.01
1.65,0.5,258.96
1.65,0.5,258.91
1.65,0.5,258.86
1.65,0.5,258.81
1.65,0.5,258.76
1.65,0.5,258.71
1.65,0.5,258.66
1.65,0.5,258.61
1.65,0.5,258.56
1.65,0.5,258.51
1.65,0.5,258.46
1.65,0.5,258.41
1.65,0.5,258.36
1.65,0.5,258.31
1.65,0.5,258.26
1.65,0.5,258.21
1.65,0.5,258.16
1.65,0.5,258.11
1.65,0.5,258.06
1.55,0.5,258.02
1.55,0.5,257.97
1.55,0.5,257.92
1.55,0.5,257.87
1.55,0.5,257.82
1.55,0.5,257.77
1.55,0.5,257.72
1.55,0.5,257.67
1.55,0.5,257.62
1.55,0.5,257.57
1.55,0.5,257.52
1.55,0.5,257.47
